x/a,n,m,gamma(kHz),gamma(cs/a),kHz_to_cs_a,nu_ei(kHz),omn(kHz),omega*/omega*_max,omega_plasma(kHz),omega_lab(kHz),omega_star_plasma(kHz),omega_star_lab(kHz),nu,eta,shat,beta,ky,mu,xstar,zeff
0.3078709497471837,1,2,0.0,0.0,0.03292249326312828,7.78170082544689,1.6452005130542613,0.9570361170950378,0.0,14.562264358785384,2.647962076504122,17.210226435289506,4.729940675134131,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.1110316928740486,-7.656263029605485,29.580814159700715,2.6387968738144165
0.3078709497471837,2,4,0.0,0.0,0.03292249326312828,7.78170082544689,3.2904010261085226,0.9570361170950378,0.0,29.12452871757077,5.295924153008244,34.42045287057901,2.3649703375670654,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.2220633857480972,-7.656263029605485,29.580814159700715,2.6387968738144165
0.3078709497471837,3,6,0.0,0.0,0.03292249326312828,7.78170082544689,4.935601539162783,0.9570361170950378,0.0,43.686793076356146,7.943886229512365,51.63067930586851,1.5766468917113772,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.3330950786221457,-7.656263029605485,29.580814159700715,2.6387968738144165
0.3078709497471837,4,8,0.0,0.0,0.03292249326312828,7.78170082544689,6.580802052217045,0.9570361170950378,0.0,58.24905743514154,10.591848306016487,68.84090574115802,1.1824851687835327,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.4441267714961944,-7.656263029605485,29.580814159700715,2.6387968738144165
0.36562333822871573,4,9,0.0,0.0,0.03334535731921164,8.053963716352003,6.725410823244903,0.9951749046029261,0.0,53.31735299108256,10.829584719482504,64.14693771056506,1.1975422658962704,0.6102488017612884,0.9974883682579105,0.21575356778588048,0.40843150803929384,-0.3956887373791199,29.580814159700715,2.6387968738144165
0.25781221855471387,5,9,0.0,0.0,0.03258470862459079,7.670395443507739,8.240161891231772,0.9691055471035365,0.0,77.82436624560484,13.653253190941586,91.47761943654642,0.9308549449337504,0.6569156493721077,1.6602635839701831,0.24353259317631382,0.6139257455722997,-13.949598186016233,29.580814159700715,2.6387968738144165
0.3078709497471837,5,10,0.0,0.0,0.03292249326312828,7.78170082544689,8.226002565271306,0.9570361170950377,0.0,72.81132179392692,13.23981038252061,86.05113217644754,0.9459881350268262,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.555158464370243,-7.656263029605485,29.580814159700715,2.6387968738144165
0.3544825228036451,5,11,0.0,0.0,0.03325891824855852,7.965408287783205,8.331959319253196,0.9803562915723952,0.0,67.84167917679848,13.374634217425092,81.21631339422358,0.9560066225211905,0.6052207776050302,1.0532331301268616,0.21873744461493777,0.517752967060093,-1.7963012522290145,29.580814159700715,2.6387968738144165
0.26643011389473487,6,11,0.0,0.0,0.03264200020381633,7.675427438908719,9.86266896426338,0.9638276084446429,0.0,92.40315804858894,16.239223035596922,108.64238108418586,0.7782302606647388,0.6465343300518848,1.596537927469656,0.2413755787878034,0.7223450939715568,-12.866164738430552,29.580814159700715,2.6387968738144165
0.3078709497471837,6,12,0.0,0.0,0.03292249326312828,7.78170082544689,9.871203078325566,0.9570361170950378,0.0,87.37358615271229,15.88777245902473,103.26135861173702,0.7883234458556886,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.6661901572442914,-7.656263029605485,29.580814159700715,2.6387968738144165
0.3469387419552789,6,13,0.0,0.0,0.03320202423677345,7.926364842569604,9.964477174425603,0.9731907780596798,0.0,82.3794172602431,15.965615275152636,98.34503253539575,0.7954621907221655,0.6022531835517969,1.0861724457970763,0.22073544975578674,0.6275699156115895,-2.7446980672170613,29.580814159700715,2.6387968738144165
0.2725001097429236,7,13,0.0,0.0,0.03268249140029222,7.6851829274484675,11.496440935457592,0.9612598428504922,0.0,106.97636133035394,18.85164676235613,125.82800809271006,0.668483661212545,0.6397811173207041,1.5462542738024387,0.2398516640978956,0.8316873686505969,-12.103050744913675,29.580814159700715,2.6387968738144165
0.3078709497471837,7,14,0.0,0.0,0.03292249326312828,7.78170082544689,11.516403591379827,0.9570361170950378,0.0,101.93585051149768,18.535734535528853,120.47158504702654,0.6757058107334473,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.7772218501183401,-7.656263029605485,29.580814159700715,2.6387968738144165
0.3414682518698743,7,15,0.0,0.0,0.03316149228481827,7.890079474280971,11.585230717640833,0.9682563305402808,0.0,96.92478320326924,18.561041416226665,115.4858246194959,0.6810463828110687,0.6021296311314513,1.1138936846627396,0.22217435582661146,0.7377542551263971,-3.432442777423623,29.580814159700715,2.6387968738144165
0.27704636177736947,8,15,0.0,0.0,0.03271291760975408,7.704052542579602,13.150318553672518,0.9602375242645297,0.0,121.51329401730571,21.48458098505708,142.99787500236278,0.5858453170648155,0.6337688625084321,1.5088931654236324,0.23870727360303726,0.9414130358603073,-11.531500346477172,29.580814159700715,2.6387968738144165
0.3078709497471837,8,16,0.0,0.0,0.03292249326312828,7.78170082544689,13.16160410443409,0.9570361170950378,0.0,116.49811487028308,21.183696612032975,137.68181148231605,0.5912425843917664,0.6095072032212455,1.3051321116831307,0.2308758950320849,0.8882535429923888,-7.656263029605485,29.580814159700715,2.6387968738144165
0.3373466497507338,8,17,0.0,0.0,0.033131319454667796,7.875848338782141,13.22805500579254,0.9659698242539912,0.0,111.47150973231203,21.18786780801051,132.65937754032254,0.5953897481778934,0.6017372016318638,1.137493520586481,0.22325334662034457,0.8481127952539331,-3.950606600181992,29.580814159700715,2.6387968738144165
