n ,m ,kymin          ,frequency(kHz)           ,location(r/a)            ,omega_GENE    ,Drive
2,39,0.073748302058791834,14.885970500609469,0.99909468218298958,1.9474860410156949,0.99635401695949255
3,58,0.11062245308818776,22.200548039880289,0.99894486436597907,2.9022307416115898,0.99062425780172358
4,78,0.14749660411758367,29.771941001218938,0.99909468218298958,3.8949720820313898,0.99635401695949255
5,97,0.18437075514697956,37.07352999734816,0.99899480363831594,4.8477684763483939,0.99256841961936515
6,116,0.22124490617637552,44.401096079760578,0.99894486436597907,5.8044614832231796,0.99062425780172358
6,117,0.22124490617637552,44.657911501828409,0.99909468218298958,5.8424581230470842,0.99635401695949244
7,136,0.25811905720577139,51.953105992203412,0.99901977327448432,6.7942931187885227,0.99352773321957877
7,137,0.25811905720577139,52.19714691365283,0.99914462145532634,6.8305162758354578,0.9981946615748698
8,155,0.29499320823516734,59.317647995757056,0.99899480363831594,7.7564295621574315,0.99256841961936548
8,156,0.29499320823516734,59.543882002437876,0.99909468218298958,7.7899441640627796,0.99635401695949255
9,174,0.33186735926456323,66.601644119640838,0.99894486436597907,8.7066922248347645,0.99062425780172336
9,175,0.33186735926456323,66.860770504552022,0.99904474291065271,8.7449828555218918,0.99447847020327251
9,176,0.33186735926456323,67.110617460410779,0.99914462145532634,8.782092354645588,0.9981946615748698
10,194,0.36874151029395913,74.14705999469632,0.99899480363831594,9.6955369526967878,0.99256841961936515
10,195,0.36874151029395913,74.429852503047329,0.99909468218298958,9.7374302050784731,0.99635401695949211
11,213,0.40561566132335508,81.482236114487748,0.99896983400214756,10.653345918064364,0.9916005783027565
11,214,0.40561566132335508,81.71871950556357,0.99904474291065271,10.688312378971197,0.99447847020327207
11,215,0.40561566132335508,81.948823443414952,0.99911965181915796,10.722466834143171,0.99727872715157895
12,232,0.44248981235275103,88.802192159521155,0.99894486436597907,11.608922966446359,0.99062425780172358
12,233,0.44248981235275103,89.062467415205873,0.99901977327448432,11.647359632208898,0.99352773321957888
12,234,0.44248981235275103,89.315823003656817,0.99909468218298958,11.684916246094168,0.99635401695949244
12,235,0.44248981235275103,89.562138850174478,0.99916959109149472,11.721575365721039,0.99910176953977825
13,252,0.47936396338214693,96.391177993105217,0.99899480363831594,12.604198038505825,0.99256841961936526
13,253,0.47936396338214693,96.668159630599035,0.99906971254682109,12.645204246277411,0.99542058132041322
13,254,0.47936396338214693,96.848609524035879,0.99911965181915796,12.672006258532845,0.99727872715157939
